Unnamed: 0,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,true_label
16587,22685,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,88.16398501,22685.0,0.0,22685,22685,0,0.0,0.0,0,0,22685,22685.0,0.0,22685,22685,0,0,40,0.0,88.16398501,0,0,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,0.0,14600,0,0.0,0.0,0,0,0.0,0.0,0,0,1,1
8726,9012641,5,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.66573161,1802528.2,2687134.719,6008755,8,9012632,2253158.0,2876422.99,6008755,8,0,0.0,0.0,0,0,0,140,28,0.554776341,0.110955268,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,64240,0,3003877.0,0.0,3003877,3003877,6008755.0,0.0,6008755,6008755,1,1
34733,6089243,3,1,294,98,98,98,98.0,0.0,98,98,98.0,0.0,64.37581814,0.656896104,2029747.667,3515611.363,6089226,7,6089236,3044618.0,4305725.926,6089226,10,0,0.0,0.0,0,0,0,24,8,0.492672078,0.164224026,98,98,98.0,0.0,0.0,0,0,0,0,0,122.5,98.0,98.0,-1,3,7.0,0.0,7,7,6089226.0,0.0,6089226,6089226,1,1
3792,8912344,5,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.673223565,1782468.8,2541261.058,5908205,8,8482371,2120592.75,2801515.956,5908205,8,0,0.0,0.0,0,0,0,140,28,0.561019637,0.112203927,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,64240,0,3004130.0,0.0,3004130,3004130,5908205.0,0.0,5908205,5908205,1,1
9786,18211,0,2,0,184,0,0,0.0,0.0,142,42,92.0,70.71067812,10103.78343,109.8237329,18211.0,0.0,18211,18211,0,0.0,0.0,0,0,18211,18211.0,0.0,18211,18211,0,0,16,0.0,109.8237329,42,142,75.33333333,57.73502692,3333.333333,0,0,0,0,0,113.0,0.0,92.0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
5288,9012598,5,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.665734786,1802519.6,2687122.923,6008725,4,9012594,2253148.5,2876409.238,6008725,7,0,0.0,0.0,0,0,0,140,28,0.554778988,0.110955798,0,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0.0,64240,0,3003866.0,0.0,3003866,3003866,6008725.0,0.0,6008725,6008725,1,1
34106,4153615,3,1,144,48,48,48,48.0,0.0,48,48,48.0,0.0,46.22479455,0.963016553,1384538.333,2398077.748,4153600,6,4153609,2076804.5,2937032.362,4153600,9,0,0.0,0.0,0,0,0,24,8,0.722262415,0.240754138,48,48,48.0,0.0,0.0,0,0,0,0,0,60.0,48.0,48.0,-1,3,0.0,0.0,0,0,0.0,0.0,0,0,1,1
21237,3,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,333333.3333,333333.3333,0,0,0.0,0.0,0.0,0,0,0,1,1,0.0,0.0,0.0,63837,0,0.0,0.0,0,0,0.0,0.0,0,0,1,1
21398,110229,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,27.21606837,55114.5,75675.27483,108625,1604,108625,108625.0,0.0,108625,108625,0,0.0,0.0,0,0,0,40,20,18.14404558,9.072022789,0,0,0.0,0.0,0.0,1,0,0,1,0,0.0,0.0,0.0,65535,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
22332,9,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,222222.2222,9.0,0.0,9,9,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,111111.1111,111111.1111,0,0,0.0,0.0,0.0,0,0,0,1,1,0.0,0.0,0.0,63837,0,0.0,0.0,0,0,0.0,0.0,0,0,1,1
